metric_id,entity,layer,metric_name,unit,period,value,source_id,confidence,notes
big_fund_phase1_rmb,China,L1|L2|L3,Big Fund Phase I registered capital,rmb-bn,2014,138.7,WEB-603,C,
big_fund_phase2_rmb,China,L1|L2|L3,Big Fund Phase II registered capital,rmb-bn,2019,204,WEB-603,C,
big_fund_phase3_rmb,China,L1|L2|L3,Big Fund Phase III registered capital,rmb-bn,2024,344,WEB-604,C,~$47.5bn at 2024 FX; established 2024-05-24
hbm_control_threshold,US-BIS,L3,HBM export-control bandwidth-density threshold,gb-per-mm2,2024,2,WEB-615,B,"All HBM above this density restricted country-wide to China, effective Dec-2024"
h200_tariff_rate,US-BIS,L4,Tariff on approved H200/MI325X exports to China,%,2026,25,WEB-624,B,"Case-by-case license review from presumption-of-denial, effective 2026-01-15/16"
rare_earth_suspension_window,China,macro,Rare-earth/gallium/germanium/antimony export-control suspension (vs US),months,2025-2026,12,WEB-622,C,"Suspension 2025-11-07 to ~2026-11-10/27; reversible, not a repeal"
equity_pivot_date,China,K,Equity-market policy pivot date ('slow bull'),date-flag,2024-09-24,1,WEB-620,C,PBOC/CSRC/NFRA stimulus + governance package
hstech_fwd_pe,HSTECH-index,K,Hong Kong Tech Index forward P/E (China AI-basket proxy),x,2026-Q2,19.9,WEB-660,C,5-yr average ~22.5x; basket proxy incl. AI/tech-adjacent names
ah_premium_montage,montage,K,H-share premium (or discount) vs A-share,%,2026-04,14,WEB-654,C,POSITIVE = H-premium (reversal of typical A>H pattern); at IPO (2026-02) H priced at 41% discount to A
openrouter_china_share_update,China,L7,Chinese-model share of OpenRouter tokens (updated),%,2026-Q1-Q2,55,WEB-663,C,"Range 51-61% Feb-Apr 2026; supersedes/updates existing openrouter_china_share row (33%, dated 2026, source REF-BW-01) -- flag for reconciliation, up from <2% in late 2024"
china_ai_overseas_presence,China,W,Chinese AI firms with commercial presence abroad,countries,2026-Q1,170,WEB-664,D,Per Digital Silk Road / BRI-adjacent reporting; single-source estimate
zhipu_mktcap,zhipu,L7,Market capitalization,hkd-bn,2026-06,585.8,WEB-649,B,~$75bn; up from HK$57.9bn day-1 (2026-01-08)
minimax_mktcap,minimax,L7,Market capitalization,hkd-bn,2026-06,159.3,WEB-649,B,~$20bn; up from HK$106.7bn day-1 (2026-01-09)
biren_mktcap_offer,biren,L4,Market capitalization at IPO offer price,hkd-bn,2026-01,46.9,WEB-641,B,
iluvatar_mktcap,iluvatar,L4,Market capitalization,usd-bn,2026-06,25.6,WEB-642,C,+428% since 2026-01-08 IPO
moore_threads_mktcap,moore-threads,L4,Market capitalization post-issue,rmb-bn,2025-12,54,WEB-643,B,
kunlunxin_target_valuation,kunlunxin,L4,Target IPO valuation,usd-bn,2026-06,50,WEB-651,D,Escalated from $14.7bn ask in May-2026; not yet listed
cxmt_ipo_target_raise,cxmt,L3,Targeted STAR Market IPO raise,usd-bn,2026,4.3,WEB-655,C,RMB29.5bn; review cleared ~2026-05-27
